March,Datum,Dag,Type,Positie,Begin stand,Eindstand,Return,Tijd,Minuten,Dagen  te gaan,Inzet per dag,Gespeeld
3/31/2019,3/9/2019,zaterdag,45 player,21,$10.97,$9.97,-$1.00,1:04,64,22,$0.45,Solid
3/31/2019,3/10/2019,zondag,45 player,12,$9.97,$9.72,-$0.25,1:17,77,21,$0.46,"Af en toe mijn positie kwijt, wat ongeconcentreerd gespeeld en daardoor soms te veel ingezet en blinds verspeeld"
3/31/2019,3/10/2019,zondag,45 player,16,$9.72,$9.47,-$0.25,1:10,70,21,$0.45,1 fout gemaakt met inzetten. 
3/31/2019,3/14/2019,donderdag,45 player,19,$9.47,$9.22,-$0.25,0:54,54,17,$0.54,Strak gespeeld zonder risico
3/31/2019,3/14/2019,donderdag,45 player,21,$9.22,$8.97,-$0.25,0:50,50,17,$0.53,Strak gespeeld zonder risico
3/31/2019,3/15/2019,vrijdag,45 player,29,$8.97,$8.72,-$0.25,0:45,45,16,$0.55,Slordige foutjes en per ongeluk gefold
3/31/2019,3/15/2019,vrijdag,45 player,18,$8.72,$8.47,-$0.25,1:02,62,16,$0.53,Ging strak maar met KK tegen 88 verloren
3/31/2019,3/15/2019,vrijdag,45 player,39,$8.47,$8.22,-$0.25,0:12,12,16,$0.51,Te aggressief en dom gespeeld 
3/31/2019,3/16/2019,zaterdag,45 player,22,$8.22,$7.97,-$0.25,0:47,47,15,$0.53,Strak gespeeld zonder risico
